source,target,weight
2,574,0.012807887989463999
2,575,0.010047333967105785
2,576,0.03762384075163697
2,579,0.03204755111318077
2,580,0.014209075961972871
2,581,0.004749910494717415
2,585,0.019026920732298544
2,587,0.014588051152682585
2,591,0.010760778282064792
2,596,0.03968378950662725
2,600,0.024150785200073948
2,603,0.01175332408973935
2,604,0.007874015748031496
2,605,0.015218038588185883
2,609,0.07401064904825284
2,610,0.017747130188322274
2,612,0.009405960187909242
2,625,0.03137279025690793
2,627,0.008203613831580879
2,634,0.011651561792628471
2,637,0.022722871770756926
2,638,0.033243420661351594
2,646,0.026166715911018643
2,648,0.0204926207831424
2,657,0.01544689411561872
2,659,0.03240167845041672
2,660,0.015218038588185883
2,662,0.023930225464168262
2,663,0.015937393387910583
2,666,0.010385722383401599
2,668,0.013227929835542418
2,669,0.012807887989463999
2,675,0.010605938867332436
2,676,0.008134383785099513
2,679,0.007059429347267391
2,682,0.014030338331657843
2,683,0.026455859671084835
2,686,0.011965112732084131
2,687,0.010112365933827246
2,689,0.014588051152682585
2,695,0.02706411981225756
2,697,0.011455723277057845
2,705,0.03968378950662725
2,706,0.011361435885378463
2,708,0.011091956367701423
2,719,0.04870001530154721
2,720,0.012075392600036974
2,723,0.01499906258788147
2,725,0.011455723277057845
2,727,0.012943424970158284
2,734,0.010760778282064792
2,735,0.013377402713694172
2,736,0.012943424970158284
2,737,0.011552397761262904
2,742,0.012305420747371317
2,747,0.009799213350727039
2,748,0.017747130188322274
2,750,0.03137279025690793
2,753,0.012425476475679972
2,758,0.05476883280542996
2,779,0.00998354072552019
2,784,0.03727642942703992
2,792,0.009353558887771896
2,796,0.014588051152682585
2,805,0.017237536649331236
2,814,0.00905654445002773
2,815,0.010047333967105785
2,821,0.05675551304109883
2,823,0.04304311312825917
2,825,0.021521556564129584
2,830,0.0179273087182331
2,835,0.018918504347032943
2,838,0.02854038109844782
2,840,0.015686395128453965
2,863,0.02136503407545385
2,864,0.012075392600036974
2,866,0.012305420747371317
2,872,0.026455859671084835
2,875,0.009459252173516472
2,878,0.020066104070541258
2,879,0.00790520009085415
2,881,0.009681853268597943
2,899,0.012188779055693755
2,902,0.023930225464168262
2,915,0.012188779055693755
2,917,0.01620083922520836
2,937,0.012943424970158284
2,963,0.014209075961972871
2,985,0.010922603577424576
2,995,0.02437755811138751
2,999,0.010457596752302643
2,1000,0.008134383785099513
2,1019,0.008460612350518187
2,1035,0.010682517037726925
2,1068,0.015937393387910583
2,1119,0.051773699880633135
2,1141,0.015937393387910583
2,1143,0.029578550313870463
2,1145,0.01544689411561872
2,1157,0.03380831681708765
2,1162,0.02235928236351792
2,1164,0.009859516771290152
2,1170,0.03137279025690793
2,1177,0.015937393387910583
2,1179,0.011269438939029219
2,1182,0.010605938867332436
2,1183,0.01117964118175896
2,1190,0.020224731867654493
2,1192,0.011006302913143412
2,1216,0.01175332408973935
2,1220,0.013377402713694172
2,1242,0.01017867724062589
2,1249,0.017402492911639783
2,1270,0.022722871770756926
2,1276,0.018918504347032943
2,1278,0.023104795522525808
2,1291,0.01117964118175896
2,1296,0.011091956367701423
2,1300,0.011965112732084131
2,1306,0.009568611323046256
2,1307,0.010385722383401599
2,1308,0.012807887989463999
2,1323,0.012305420747371317
2,1324,0.0738325244842279
2,1325,0.056121353326631374
2,1330,0.047431200545124896
2,1332,0.08873565094161139
2,1334,0.05324139056496682
2,1338,0.03622617780011092
2,1339,0.052207478734919356
2,1342,0.02291144655411569
2,1345,0.04922168298948527
2,1347,0.017077183985952
2,1352,0.03968378950662725
2,1353,0.019841894753313626
2,1355,0.0421239371861586
2,1361,0.03968378950662725
2,1362,0.06777297288018559
2,1373,0.022183912735402846
3,24,0.02344036154692477
3,34,0.017817416127494958
3,43,0.019389168358237032
3,52,0.015240998561973753
3,100,0.01384754686472162
3,111,0.02279211529192759
3,153,0.020650405139110022
3,252,0.017162482629699223
3,255,0.02034892318891199
3,306,0.021128856368212913
3,333,0.01681919829838161
3,361,0.023669053416557544
3,449,0.021295885499998
3,471,0.03450327796711771
3,504,0.02034892318891199
3,519,0.026082026547865053
3,532,0.023669053416557544
3,551,0.019262853213235488
3,554,0.023002185311411807
3,560,0.0173421993904824
3,576,0.017917234365811652
3,584,0.029424494316824982
3,684,0.06506000486323554
3,747,0.03733266964732787
3,801,0.009333167411831968
3,828,0.022388683141982252
3,871,0.01494035761667992
3,893,0.023904572186687872
3,957,0.023218173010628604
3,966,0.02034892318891199
3,1125,0.01389425035941821
3,1330,0.045175395145262566
4,5,0.058025885318565944
4,6,0.030934411244487297
4,8,0.018214966464911487
4,9,0.051708768999501914
4,10,0.055048188256318034
4,11,0.037688918072220454
4,13,0.03289758474798845
4,15,0.027994625547792716
4,16,0.05133270023393453
4,18,0.0657951694959769
4,20,0.029854071701326607
4,21,0.055048188256318034
4,22,0.036563621206356534
4,23,0.07590680990538862
4,24,0.02956561979945413
4,25,0.04624972900628803
4,29,0.03178208630818641
4,32,0.022727272727272728
4,33,0.035533452725935076
4,34,0.044946657497549475
4,36,0.021427478217774167
4,37,0.022727272727272728
4,38,0.02090605025017727
4,39,0.03892494720807615
4,40,0.030151134457776358
4,41,0.107682623063487
4,43,0.07336739820667777
4,46,0.06897007348075543
4,48,0.023124864503144014
4,50,0.012207837505974602
4,51,0.015228622596829316
4,52,0.01922366120271981
4,53,0.050251890762960605
4,57,0.048592953074986255
4,58,0.03458572319330373
4,59,0.022599230735278437
4,62,0.036563621206356534
4,67,0.027756369082668444
4,69,0.017766726362967538
4,70,0.041030496993110906
4,71,0.028490144114909487
4,72,0.03045724519365863
4,74,0.05288858853479451
4,75,0.0262431940540739
4,76,0.023262105259961773
4,80,0.043747863925980714
4,81,0.025302269968462875
4,83,0.029285370632871136
4,86,0.03289758474798845
4,88,0.018083448741266828
4,89,0.07106690545187015
4,91,0.041030496993110906
4,92,0.026650089544451302
4,93,0.03143473067309657
4,94,0.03959037912324479
4,99,0.04767312946227962
4,101,0.022990024493585143
4,105,0.031098520678556146
4,111,0.02874797872880345
4,114,0.018018749253911177
4,119,0.044455422447438706
4,121,0.029012942659282972
4,124,0.029285370632871136
4,128,0.022227711223719353
4,129,0.026860765467512676
4,130,0.01680257031774874
4,132,0.02874797872880345
4,135,0.03077287274483318
4,136,0.026046613053531162
4,158,0.037113480951260276
4,161,0.030151134457776358
4,164,0.08058229640253803
4,165,0.02478407985483048
4,166,0.015935369720403485
4,167,0.021873931962990357
4,171,0.03289758474798845
4,177,0.03458572319330373
4,179,0.055048188256318034
